Block,Waktu (s)
278,0.0010004043579101562
279,0.3616061210632324
280,0.0045049190521240234
281,0.05823850631713867
282,0.014048099517822266
283,0.007679462432861328
284,0.017962217330932617
285,0.011511087417602539
286,0.1085667610168457
287,0.013077259063720703
288,0.05956625938415527
289,0.041948556900024414
290,0.10709309577941895
291,0.22835230827331543
292,0.07283449172973633
293,0.2485051155090332
294,0.012010335922241211
295,0.015454292297363281
296,0.0723426342010498
297,0.009006977081298828
298,0.012010335922241211
299,0.03942608833312988
300,0.07845401763916016
301,0.010878801345825195
302,0.04867386817932129
303,0.028981685638427734
304,0.02247929573059082
305,0.027081966400146484
306,0.011193275451660156
307,0.015466928482055664
308,0.026515960693359375
309,0.2359161376953125
310,0.03868508338928223
311,0.05391073226928711
312,0.03856468200683594
313,0.13215398788452148
314,0.03702044486999512
315,0.09649491310119629
316,0.11448478698730469
317,0.05338597297668457
318,0.012505769729614258
319,0.03383064270019531
320,0.005044221878051758
321,0.030018329620361328
322,0.14921212196350098
323,0.04756808280944824
324,0.02651190757751465
325,0.18376588821411133
326,0.00900721549987793
327,0.004502534866333008
328,0.005503177642822266
329,0.003999948501586914
330,0.04507803916931152
331,0.00099945068359375
332,0.01959967613220215
333,0.04308128356933594
334,0.0010001659393310547
335,0.36187291145324707
336,0.004503726959228516
337,0.052678823471069336
338,0.016022682189941406
339,0.008304357528686523
340,0.016060829162597656
341,0.012040376663208008
342,0.11006855964660645
343,0.013091325759887695
344,0.05882668495178223
345,0.041578054428100586
346,0.10739707946777344
347,0.22237181663513184
348,0.07149243354797363
349,0.24679827690124512
350,0.010770559310913086
351,0.014569520950317383
352,0.07104253768920898
353,0.009507417678833008
354,0.011788129806518555
355,0.041316986083984375
356,0.07767367362976074
357,0.012044429779052734
358,0.04851102828979492
359,0.02712416648864746
360,0.022240400314331055
361,0.025552988052368164
362,0.011010408401489258
363,0.01626896858215332
364,0.028168201446533203
365,0.23270106315612793
366,0.038738250732421875
367,0.05764627456665039
368,0.0395963191986084
369,0.12800002098083496
370,0.03862190246582031
371,0.09745192527770996
372,0.11127185821533203
373,0.05265092849731445
374,0.013012170791625977
375,0.0323786735534668
376,0.006001949310302734
377,0.029326915740966797
378,0.1508948802947998
379,0.04809761047363281
380,0.027092695236206055
381,0.18358659744262695
382,0.010009527206420898
383,0.00551152229309082
384,0.0051059722900390625
385,0.003000497817993164
386,0.044442176818847656
387,0.0020008087158203125
388,0.019012451171875
389,0.04473686218261719
390,0.0
391,0.36473774909973145
392,0.004504680633544922
393,0.05583691596984863
394,0.01405024528503418
395,0.006504535675048828
396,0.018508434295654297
397,0.011009693145751953
398,0.10611557960510254
399,0.014330625534057617
400,0.05905461311340332
401,0.04057192802429199
402,0.11063361167907715
403,0.2283492088317871
404,0.07212448120117188
405,0.24906110763549805
406,0.01088714599609375
407,0.013507604598999023
408,0.07553982734680176
409,0.008006095886230469
410,0.013278007507324219
411,0.03846335411071777
412,0.07865762710571289
413,0.010038375854492188
414,0.049686431884765625
415,0.0273740291595459
416,0.02557373046875
417,0.027013778686523438
418,0.010696649551391602
419,0.014517784118652344
420,0.02779221534729004
421,0.23467636108398438
422,0.04068255424499512
423,0.051370859146118164
424,0.0385892391204834
425,0.13167262077331543
426,0.037110328674316406
427,0.0948789119720459
428,0.1118772029876709
429,0.05383753776550293
